srcs	trans	score
meteorología	meteorology	0.9484848484848484
llaga	sore	0.0
ella	she	0.0
base	base	1.0
almuerzos	lunches	0.671957671957672
empleos	jobs	0.0
llevado	led	0.6507936507936508
llegada	arrival	0.4285714285714286
sentada	sitting	0.5238095238095238
térmico	thermal	0.6190476190476191
previstas	planned	0.5026455026455027
bolsas	bags	0.611111111111111
ecuatorial	equatorial	0.94
responsable	responsable	1.0
motora	motorboat	0.9333333333333333
sísmico	seismic	0.7685714285714286
preguntaba	asked	0.43333333333333335
situaciones	situations	0.9436363636363637
directa	direct	0.9714285714285714
superó	surpassed	0.6203703703703703
capitales	capitals	0.9777777777777777
lunar	lunar	1.0
suavicen	soften	0.625
aproximadamente	approximately	0.8229059829059829
ningún	no	0.5555555555555555
esencial	essential	0.9074074074074073
paracaídas	parachute	0.6851851851851851
decenas	tens	0.5952380952380952
siguen	continue	0.5555555555555555
informes	reports	0.6011904761904762
recalca	stresses	0.5119047619047619
alinearon	aligned	0.8296296296296296
presidenciales	presidential	0.9404761904761905
confirme	confirm	0.975
deuda	debt	0.6333333333333333
recurrir	appeal	0.4305555555555556
obligatorios	mandatory	0.5925925925925926
integrante	member	0.5111111111111111
procesados	processed	0.9127777777777778
indica	indicates	0.9333333333333333
pasada	pass	0.825
dependiente	dependent	0.9636363636363636
encajar	to fit in	0.0
viable	viable	1.0
voy	I go	0.0
corresponsal	correspondent	0.8884615384615385
genoma	genome	0.9333333333333333
aplastados	crushed	0.49523809523809526
artículo	Article	0.6904761904761904
incertidumbres	uncertainties	0.728937728937729
unificado	unified	0.9047619047619048
mucha	a lot	0.0
jengibre	ginger	0.6861111111111112
sirva	serve	0.76
absurda	absurd	0.9714285714285714
solares	solar	0.9428571428571428
tenencia	tenure	0.8055555555555556
sonreír	smile	0.5619047619047619
quedaba	left	0.4642857142857142
fluye	flowing	0.5619047619047619
plagado	plagued	0.8857142857142858
vitrinas	showcases	0.4907407407407407
tarifa	rate	0.6388888888888888
empaquetado	packaging	0.5353535353535354
publicando	publishing	0.8400000000000001
demo2	demo2	1.0
jóvenes	young boys	0.49523809523809526
paguen	pay	0.6666666666666666
medicinas	medicines	0.9555555555555556
para	for	0.5277777777777778
secretario	secretary	0.9377777777777778
adoptan	adopt	0.9428571428571428
criticada	criticized	0.8955555555555555
pico	peak	0.5
tan	so	0.0
turno	turn	0.96
presidencial	presidential	0.9666666666666666
produjo	produced	0.8678571428571429
biotecnología	biotechnology	0.9384615384615385
aprobada	approved	0.8
declinó	declined	0.9214285714285715
viejos	old	0.0
geografía	geography	0.8666666666666666
prepararse	get prepared	0.6182539682539682
retroceso	recoil	0.6203703703703703
dieta	diet	0.96
positivo	positive	0.95
tranquilizar	reassure	0.611111111111111
cuidando	taking care of	0.5119047619047619
categorías	categories	0.92
universitario	academic	0.3012820512820513
evitado	avoided	0.6190476190476191
cadena	chain	0.7300000000000001
lidiando	dealing	0.6464285714285715
rastreo	tracking	0.4900793650793651
pase	pass	0.8833333333333334
niveles	levels	0.7158730158730159
claro	Clear	0.7333333333333334
cápsulas	capsules	0.8500000000000001
noruega	Norway	0.6428571428571429
aún	yet	0.0
paciente	patient	0.8952380952380953
instituciones	institutions	0.9525641025641025
leí	I read	0.5
delegación	delegation	0.92
inglés	English	0.746031746031746
evitarlos	avoid them	0.4481481481481482
seguimiento	tracing	0.45598845598845594
componen	make up	0.4900793650793651
gas	gas	1.0
cara	face	0.5
caza	hunting	0.0
márgenes	margins	0.8017857142857143
bancos	banks	0.8755555555555556
pensar	think	0.4555555555555555
hebreos	Hebrews	0.8095238095238096
una	a	0.0
llamadas	calls	0.6833333333333332
concibió	conceived	0.836111111111111
asignada	assigned	0.8666666666666667
contrarreloj	time trial	0.5722222222222223
miembros	members	0.8821428571428571
entendía	understood	0.46666666666666656
obstaculizado	hampered	0.46794871794871784
fletados	chartered	0.5648148148148148
organizaran	will organize	0.582084582084582
cohete	rocket	0.6944444444444443
cargado	loaded	0.5396825396825397
compartir	share	0.5407407407407407
despegar	take off	0.41666666666666674
vigente	valid	0.5619047619047619
contará	will count	0.0
mejoría	improvement	0.45598845598845594
licenciatura	bachelor&#39;s degree	0.484920634920635
viajaron	they traveled	0.3012820512820513
reactivación	reactivation	0.9333333333333333
acopladas	coupled	0.7566137566137566
coautora	co-author	0.9074074074074073
sabes	you know	0.0
cuidado	watch out	0.47619047619047605
filiales	subsidiaries	0.5472222222222222
externalizar	outsource	0.41666666666666674
barrera	barrier	0.9428571428571428
piernas	legs	0.4642857142857142
funcionario	official	0.5598484848484849
existe	exists	0.9333333333333333
parroquia	parish	0.611111111111111
empatía	empathy	0.8857142857142858
resultar	result	0.95
aquellos	those	0.44166666666666665
dímero	dimer	0.8400000000000001
gobernando	ruling	0.5111111111111111
recuperarse	recuperate	0.9436363636363637
lamento	lament	0.9714285714285714
factibilidad	feasibility	0.765909090909091
distintas	different	0.6296296296296297
asiática	asian	0.6583333333333333
ciertos	some	0.4642857142857142
intentará	will try	0.5694444444444444
albergados	sheltered	0.5314814814814816
pudiéremos	we could	0.31666666666666665
dedicadas	dedicated	0.9111111111111111
monos	monkeys	0.8533333333333333
pistoletazo	pistol shot	0.865909090909091
vecinos	neighbors	0.671957671957672
requisitos	requirements	0.8566666666666667
venta	sale	0.0
noche	night	0.6
científico	scientific	0.8250000000000001
emocionado	excited	0.6571428571428571
bolsa	bag	0.5111111111111111
toca	touch	0.8266666666666667
llegue	I arrived	0.4259259259259258
científica	scientific	0.8250000000000001
insinúan	hint	0.5833333333333334
puerto	port	0.775
establecer	establish	0.8533333333333333
tripulada	manned	0.4259259259259258
matrimonio	marriage	0.6333333333333333
libró	book	0.0
preciso	precise	0.9428571428571428
estadounidense	U.S	0.0
hablada	spoken	0.0
defunción	death	0.5407407407407407
requiere	requires	0.9214285714285715
eventualmente	eventually	0.8830769230769232
evaluando	evaluating	0.8955555555555555
aumentó	increase	0.3452380952380951
solución	solution	0.9
complicar	Complicate	0.825925925925926
estarían	would be	0.0
dantesco	horrific	0.41666666666666674
rodeó	rodeo	0.92
vastas	vast	0.9333333333333333
allí	there	0.0
esquina	corner	0.4365079365079365
encierro	confinement	0.537878787878788
callados	dumbed down	0.4772727272727273
manadas	herds	0.5619047619047619
aguas	waters	0.5777777777777778
compara	compare	0.9428571428571428
sienten	feel	0.4642857142857142
fabricando	making	0.6
seco	dry	0.0
comenzado	started	0.5026455026455027
testigo	witness	0.4285714285714286
llenar	fill in	0.5396825396825397
explorando	exploring	0.8955555555555555
relajaran	they will relax	0.5703703703703703
entra	enters	0.8755555555555556
aumentará	will increase	0.41025641025641035
refrigeradora	refrigerator	0.9525641025641025
alquiler	rental	0.4305555555555556
medicina	medicine	0.95
milímetro	millimeter	0.8781481481481481
confiesa	confess	0.9214285714285715
reuniones	meetings	0.5648148148148148
tomaron	they took	0.5026455026455027
invertido	invested	0.8833333333333333
sexto	sixth	0.76
envié	I sent	0.0
comunas	communes	0.9083333333333333
vasto	vast	0.96
refería	referred	0.8678571428571429
horario	schedule	0.42261904761904767
coautor	co-author	0.9407407407407408
mar	sea	0.0
meta	goal	0.5
unos	some	0.5
enfoques	approaches	0.5583333333333333
inmune	immune	0.9
asociados	associates	0.8607407407407408
treintena	thirty	0.6203703703703703
consideran	consider	0.96
céntimos	pennies	0.6011904761904762
alzas	hikes	0.46666666666666656
cuenco	bowl	0.0
utilizaban	they used	0.4037037037037037
sensato	sensible	0.6904761904761904
marketing	marketing	1.0
planeado	planned	0.9214285714285715
anual	annual	0.9555555555555556
bandas	bands	0.9666666666666667
actualizó	updated	0.47619047619047605
opina	think	0.6
cómoda	comfortable	0.5934343434343434
evaluar	evaluate	0.9214285714285715
agrado	liking	0.0
haberlo	have it	0.6190476190476191
fe	faith	0.5666666666666667
publicado	published	0.8666666666666666
mensaje	message	0.8476190476190477
absolutamente	absolutely	0.8830769230769232
surgir	arise	0.5777777777777778
mucho	much	0.96
autoaislaran	self-insulate	0.467094017094017
estando	being	0.5619047619047619
cercano	near	0.6150793650793651
cultivo	culture	0.8285714285714286
vivieron	they lived	0.31666666666666665
siglo	century	0.0
ofreció	offered	0.6309523809523809
requieren	require	0.9269841269841269
normalmente	usually	0.48917748917748916
convertirme	become	0.4797979797979799
permanecería	would remain	0.4722222222222221
ofrece	offers	0.6944444444444443
funcionarios	officials	0.6917989417989419
protestan	they protest	0.6441798941798942
haga	make	0.5
abrir	open	0.0
doctorado	doctorate	0.9111111111111111
ocurrió	occurred	0.8238095238095238
hondureños	Hondurans	0.7555555555555555
imágenes	images	0.8555555555555556
polvo	dust	0.0
dispersó	dispersed	0.9305555555555555
gravemente	seriously	0.30740740740740735
empresa	business	0.3452380952380951
andando	walking	0.5238095238095238
fuentes	sources	0.6190476190476191
inconmensurables	immeasurable	0.7775000000000001
auténtica	authentic	0.8962962962962963
decidir	decide	0.9095238095238095
reconocen	they recognize	0.5317460317460317
pagamos	we pay	0.4365079365079365
adentro	indoors	0.5476190476190476
publicara	will publish	0.5240740740740741
remedio	remedy	0.9095238095238095
hermanas	sisters	0.6011904761904762
afectando	affecting	0.8222222222222222
trasladar	move	0.0
multimillonario	multimillionaire	0.9330952380952381
total	total	1.0
académico	academic	0.9305555555555555
preparadas	prepared	0.915
seguridad	security	0.7814814814814814
liquidas	liquids	0.975
tuiteó	tweeted	0.5317460317460317
dulce	sweet	0.46666666666666656
congelé	I froze	0.4285714285714286
teoría	theory	0.7999999999999999
precedentes	precedents	0.9818181818181818
hago	I make	0.4722222222222221
arrestó	arrest	0.9714285714285714
financiero	financial	0.8955555555555555
ultravioleta	ultraviolet	0.9833333333333333
madrigueras	burrows	0.48917748917748916
utilizando	using	0.6333333333333333
draconianos	draconians	0.9818181818181818
carne	meat	0.4833333333333334
petroleras	oil companies	0.5615384615384615
respondiendo	responding	0.9299999999999999
socialista	socialist	0.98
espacios	spaces	0.8194444444444445
pertenece	belongs	0.5026455026455027
indio	Indian	0.7000000000000001
absoluto	absolute	0.95
excesiva	excessive	0.9305555555555555
presentó	presented	0.9305555555555555
volar	fly	0.5111111111111111
agresiva	aggressive	0.8866666666666667
recorridos	tours	0.3666666666666667
profundamente	deeply	0.4145299145299146
sufriendo	suffering	0.8629629629629629
resultó	turned out	0.5738095238095239
otros	others	0.8577777777777779
ayudaron	they helped	0.4053030303030303
reaccione	react	0.8488888888888889
destrozados	mangled	0.48917748917748916
pesada	heavy	0.5777777777777778
diferencia	difference	0.9066666666666667
evento	event	0.9666666666666667
duramente	harshly	0.33597883597883604
rápidamente	quickly	0.4112554112554112
pandemia	pandemic	0.95
novelas	novels	0.9714285714285714
mas	more	0.5277777777777778
demostrado	demonstrated	0.9299999999999999
católica	catholic	0.8833333333333334
recuperaron	recovered	0.6700336700336701
vecino	neighbour	0.611111111111111
complementa	complements	0.9636363636363636
razones	reasons	0.8285714285714287
pruebas	tests	0.5619047619047619
forma	shape	0.0
cierta	certain	0.8642857142857143
propiedad	property	0.836111111111111
regresaron	they returned	0.5615384615384615
marginación	marginalization	0.8836363636363637
